Order_Id,Order_Date,Sales,Profit,Discount,Region,Category,Sub_Category,Customer_Segment,Quantity
1,2024-01-16 17:03:25.405405404,4268.33,967.81,0.12,North,OfficeSup,Bookcases,Consumer,1.0
2,2024-06-22 13:09:54.594594592,1554.25,805.9,0.13,East,Technology,Paper,Consumer,1.0
3,2024-06-24 17:46:40.000000000,2129.58,589.54,0.17,North,OfficeSup,Accessories,Home Office,5.0
4,2024-04-27 06:46:29.189189184,1734.67,421.34,0.0,South,OfficeSup,Accessories,Home Office,5.0
5,2023-10-28 07:55:40.540540540,2600.0,387.81,0.26,South,OfficeSup,Accessories,Home Office,6.0
6,2024-05-10 10:27:01.621621624,1100.0,1124.52,0.11,West,Technology,Accessories,Home Office,6.0
7,2024-04-02 10:29:54.594594592,2779.69,-200.0,0.17,East,Technology,Phones,Home Office,1.0
8,2024-01-10 20:45:24.324324324,3418.05,468.78,0.22,West,Technology,Binders,Corporate,8.0
9,2024-09-19 16:44:41.081081080,3815.51,382.3,0.12,North,Technology,Paper,Consumer,1.0
10,2023-04-10 09:06:18.378378378,2901.86,1477.04,0.27,East,Technology,Paper,Corporate,3.0
11,2024-08-15 14:56:34.594594592,4254.85,-155.83,0.08,North,Furniture,Phones,Corporate,6.0
12,2023-02-25 12:51:10.270270270,4226.16,1468.47,0.21,South,Furniture,Laptops,Home Office,4.0
13,2024-04-09 17:52:25.945945944,177.48,1500.0,0.25,East,Technology,Bookcases,Consumer,4.0
14,2024-12-12 00:01:26.486486488,400.0,1280.28,0.29,North,Technology,Binders,Home Office,7.0
15,2024-11-16 10:12:36.756756752,3600.0,1435.61,0.12,West,Furniture,Bookcases,Home Office,6.0
16,2024-10-18 22:14:46.486486488,2373.55,540.9,0.1,North,Technology,Storage,Corporate,4.0
17,2023-07-24 14:30:37.837837838,318.36,900.0,0.0,South,OfficeSup,Accessories,Corporate,8.0
18,2024-10-07 05:38:44.324324320,2690.75,750.66,0.19,South,OfficeSup,Tables,Home Office,8.0
19,2024-07-10 02:03:57.837837840,3792.61,200.0,0.08,West,Furniture,Laptops,Home Office,5.0
20,2023-08-22 02:28:28.108108108,3521.72,347.1,0.0,West,OfficeSup,Chairs,Consumer,7.0
