   Custmr Name , Order Dt ,Sales ($),Profit ($),Discnt ,Region,Category,Sub-Category,Customer Segment,Quantity
Report Generated: 2025-09-08,,,,,,,,,
Note: Sales data includes returns,,,,,,,,,
,,,,,,,,,
Customer Info,,,,,,,,,
,2024-01-16 17:03:25.405405404,4268.33,967.81,0.12,North,OfficeSup,Bookcases,Consumer,1.0
,2024-06-22 13:09:54.594594592,1554.25,805.9,0.13,East,Technology,Paper,Consumer,1.0
,2024-06-24 17:46:40.000000000,2129.58,589.54,0.17,North,OfficeSup,Accessories,Home Office,5.0
,2024-04-27 06:46:29.189189184,1734.67,421.34,,South,OfficeSup,Accessories,Home Office,5.0
,2023-10-28 07:55:40.540540540,2.6k,387.81,0.26,South,OfficeSup,Accessories,Home Office,6.0
,2024-05-10 10:27:01.621621624,1.1k,1124.52,0.11,West,Technology,Accessories,Home Office,6.0
,2024-04-02 10:29:54.594594592,2779.69,-0.2k,0.17,East,Technology,Phones,Home Office,1.0
,2024-01-10 20:45:24.324324324,"3,418.05",468.78,0.22,West,Technology,Binders,Corporate,8.0
,2024-09-19 16:44:41.081081080,"3,815.51",382.3,0.12,North,Technology,Paper,Consumer,1.0
,2023-04-10 09:06:18.378378378,"2,901.86",1477.04,0.27,East,Technology,Paper,Corporate,3.0
,2024-08-15 14:56:34.594594592,"4,254.85",-155.83,0.08,North,Furniture,Phones,Corporate,6.0
,2023-02-25 12:51:10.270270270,"4,226.16",1468.47,0.21,South,Furniture,Laptops,Home Office,4.0
,2024-04-09 17:52:25.945945944,177.48,1.5k,0.25,East,Technology,Bookcases,Consumer,4.0
,2024-12-12 00:01:26.486486488,0.4k,1280.28,0.29,North,Technology,Binders,Home Office,7.0
,2024-11-16 10:12:36.756756752,3.6k,"1,435.61",0.12,West,Furniture,Bookcases,Home Office,6.0
,2024-10-18 22:14:46.486486488,"2,373.55",540.9,0.1,North,Technology,Storage,Corporate,4.0
,2023-07-24 14:30:37.837837838,318.36,0.9k,,South,OfficeSup,Accessories,Corporate,8.0
,2024-10-07 05:38:44.324324320,"2,690.75",750.66,0.19,South,OfficeSup,Tables,Home Office,8.0
,2024-07-10 02:03:57.837837840,"3,792.61",0.2k,0.08,West,Furniture,Laptops,Home Office,5.0
,2023-08-22 02:28:28.108108108,3521.72,347.1,,West,OfficeSup,Chairs,Consumer,7.0
,2024-02-06 04:06:29.189189188,3045.4,-0.4k,0.04,North,Furniture,Laptops,Home Office,8.0
,2023-05-08 03:31:53.513513514,"3,626.3",-46.52,0.02,South,Technology,Bookcases,Home Office,8.0
,2023-09-29 02:25:35.135135136,0.2k,886.67,0.04,South,Technology,Bookcases,Consumer,7.0
