Order_Id,Order_Date,Sales,Profit,Discount,Region,Category,Sub_Category,Customer_Segment,Quantity,Profit_Bin,profit_flag,Discount_Bin,Sales_Bin,Unit_Margin,Profit_Margin,Year,Quarter,Month,Weekday
1,2024-01-16 17:03:25.405405404,4268.33,967.81,12,North,OfficeSup,Bookcases,Consumer,1,901 - 1100,Positive,11 - 15,4001 - 4500,967.81,0.22674207476928915,2024,1,1,Tuesday
2,2024-06-22 13:09:54.594594592,1554.25,805.9,13,East,Technology,Paper,Consumer,1,701 - 900,Positive,11 - 15,1501 - 2000,805.9,0.5185137526138008,2024,2,6,Saturday
3,2024-06-24 17:46:40.000000000,2129.58,589.54,17,North,OfficeSup,Accessories,Home Office,5,501 - 700,Positive,16 - 20,2001 - 2500,117.90799999999999,0.2768339296950572,2024,2,6,Monday
4,2024-04-27 06:46:29.189189184,1734.67,421.34,0,South,OfficeSup,Accessories,Home Office,5,301 - 500,Positive,0 - 5,1501 - 2000,84.268,0.24289346100411027,2024,2,4,Saturday
5,2023-10-28 07:55:40.540540540,2600.0,387.81,26,South,OfficeSup,Accessories,Home Office,6,301 - 500,Positive,26 - 30,2501 - 3000,64.635,0.1491576923076923,2023,4,10,Saturday
6,2024-05-10 10:27:01.621621624,1100.0,1124.52,11,West,Technology,Accessories,Home Office,6,1101 - 1300,Positive,11 - 15,1001 - 1500,187.42,1.0222909090909091,2024,2,5,Friday
7,2024-04-02 10:29:54.594594592,2779.69,-200.0,17,East,Technology,Phones,Home Office,1,(-300) - (-101),Negative,16 - 20,2501 - 3000,-200.0,-0.07195046929693599,2024,2,4,Tuesday
8,2024-01-10 20:45:24.324324324,3418.05,468.78,22,West,Technology,Binders,Corporate,8,301 - 500,Positive,21 - 25,3001 - 3500,58.5975,0.1371483740729363,2024,1,1,Wednesday
9,2024-09-19 16:44:41.081081080,3815.51,382.3,12,North,Technology,Paper,Consumer,1,301 - 500,Positive,11 - 15,3501 - 4000,382.3,0.10019630403275054,2024,3,9,Thursday
10,2023-04-10 09:06:18.378378378,2901.86,1477.04,27,East,Technology,Paper,Corporate,3,1301 - 1500,Positive,26 - 30,2501 - 3000,492.34666666666664,0.5089976773517675,2023,2,4,Monday
11,2024-08-15 14:56:34.594594592,4254.85,-155.83,8,North,Furniture,Phones,Corporate,6,(-300) - (-101),Negative,6 - 10,4001 - 4500,-25.971666666666668,-0.03662408780568058,2024,3,8,Thursday
12,2023-02-25 12:51:10.270270270,4226.16,1468.47,21,South,Furniture,Laptops,Home Office,4,1301 - 1500,Positive,21 - 25,4001 - 4500,367.1175,0.3474714634561872,2023,1,2,Saturday
13,2024-04-09 17:52:25.945945944,177.48,1500.0,25,East,Technology,Bookcases,Consumer,4,1301 - 1500,Positive,21 - 25,0 - 500,375.0,8.451656524678837,2024,2,4,Tuesday
14,2024-12-12 00:01:26.486486488,400.0,1280.28,28,North,Technology,Binders,Home Office,7,1101 - 1300,Positive,26 - 30,0 - 500,182.89714285714285,3.2007,2024,4,12,Thursday
15,2024-11-16 10:12:36.756756752,3600.0,1435.61,12,West,Furniture,Bookcases,Home Office,6,1301 - 1500,Positive,11 - 15,3501 - 4000,239.26833333333332,0.3987805555555555,2024,4,11,Saturday
16,2024-10-18 22:14:46.486486488,2373.55,540.9,10,North,Technology,Storage,Corporate,4,501 - 700,Positive,6 - 10,2001 - 2500,135.225,0.22788649912578202,2024,4,10,Friday
17,2023-07-24 14:30:37.837837838,318.36,900.0,0,South,OfficeSup,Accessories,Corporate,8,701 - 900,Positive,0 - 5,0 - 500,112.5,2.826988315114964,2023,3,7,Monday
18,2024-10-07 05:38:44.324324320,2690.75,750.66,19,South,OfficeSup,Tables,Home Office,8,701 - 900,Positive,16 - 20,2501 - 3000,93.8325,0.2789779801170677,2024,4,10,Monday
19,2024-07-10 02:03:57.837837840,3792.61,200.0,8,West,Furniture,Laptops,Home Office,5,101 - 300,Positive,6 - 10,3501 - 4000,40.0,0.05273413295856943,2024,3,7,Wednesday
